App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
10 Best Foods for You,"WEALTH OF INFORMATION Very informative ... easy understand. (The ads middle page interupted read). Update: My ""ad comment"" NOT objection ads, literally position ads. Smack dab MIDDLE. I new spartphones & apps. Didnt know NOT Click eveything I saw... But, ... Full Review",Positive,0.1866161616,0.3563131313
10 Best Foods for You,Not description good,Positive,0.7,0.6
10 Best Foods for You,Great app. Love,Positive,0.65,0.675
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Loved Very helpful,Positive,0.45,0.55
10 Best Foods for You,Good healthy foods.,Positive,0.6,0.55
10 Best Foods for You,Waste time It needs internet time n ask calls information,Negative,-0.2,0
10 Best Foods for You,Best thing I lost ten lbs. two months help tips,Positive,0.5,0.15
10 Best Foods for You,Ten best food promote good health Good health essential long healthy lifestyle make habit eat foods promote good health. Eat fruits veggies every day.,Positive,0.44375,0.4125
10 Best Foods for You,Healthy Food Really good information eat healthy,Positive,0.5666666667,0.5333333333
10 Best Foods for You,My mom dad important thing This good share,Positive,0.55,0.8
10 Best Foods for You,A big thanks ds I got bst gd health,Positive,0.1,0.15
10 Best Foods for You,Lovely Best everyone needs,Positive,0.75,0.525
10 Best Foods for You,Love It I lost 6Pounds far 215 209,Positive,0.3,0.8
10 Best Foods for You,I like,Neutral,0,0
10 Best Foods for You,Thanks helpful app.,Positive,0.2,0.2
10 Best Foods for You,good food really good eat,Positive,0.7,0.6
10 Best Foods for You,Thanks Thank u much,Positive,0.2,0.2
10 Best Foods for You,Love This really good,Positive,0.6,0.6
10 Best Foods for You,This helpful,Neutral,0,0
10 Best Foods for You,I love,Positive,0.5,0.6
10 Best Foods for You,Very useful,Positive,0.39,0
10 Best Foods for You,Great Love,Positive,0.65,0.675
10 Best Foods for You,Very informative,Positive,0.2,0.3
10 Best Foods for You,Luv,Neutral,0,0
10 Best Foods for You,great,Positive,0.8,0.75
10 Best Foods for You,Wonderful,Positive,1,1
10 Best Foods for You,Doesn't work... Zero,Neutral,0,0
10 Best Foods for You,Weight loss Not bad,Positive,0.35,0.6666666667
10 Best Foods for You,10 best foods 4u Excellent chose foods,Positive,1,0.65
10 Best Foods for You,This needed most.,Positive,0.5,0.5
10 Best Foods for You,Faltu plz waste ur time,Negative,-0.2,0
10 Best Foods for You,Best food Thank you recipe book,Positive,1,0.3
10 Best Foods for You,I Love Good,Positive,0.6,0.6
10 Best Foods for You,I like Superb,Positive,1,1
10 Best Foods for You,Good V good,Positive,0.7,0.6
10 Best Foods for You,Healthy,Positive,0.5,0.5
10 Best Foods for You,Quick Read.,Positive,0.3333333333,0.5
10 Best Foods for You,Great ideas,Positive,0.8,0.75
10 Best Foods for You,Too good,Positive,0.7,0.6
10 Best Foods for You,Cool.,Positive,0.35,0.65
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Best Best,Positive,1,0.3
10 Best Foods for You,Great Great,Positive,0.8,0.75
10 Best Foods for You,"Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1,0.8333333333
10 Best Foods for You,Great wife. My wife enjoy much. She's kinda person like follow health diet... She's spending much time front PC find appropriate diet food her. Now found magnificent app! Thank you! Thumbs up.,Positive,0.5166666667,0.525
10 Best Foods for You,Great! Very interesting useful application. I like it!,Positive,0.675,0.4666666667
10 Best Foods for You,Crap Doesn't work,Negative,-0.8,0.8
10 Best Foods for You,This 5 starr Download,Neutral,0,0
10 Best Foods for You,I like Was helpful,Neutral,0,0
10 Best Foods for You,nice super get,Positive,0.4666666667,0.8333333333
10 Best Foods for You,Nice Nice collection,Positive,0.6,1
10 Best Foods for You,Wow,Positive,0.1,1
10 Best Foods for You,"Interesting. It interesting info, I think worth storage space phone. I'd rather research computer print list. Neat idea, make life easier, provide entertainment, I expect app.",Positive,0.4333333333,0.3666666667
10 Best Foods for You,"Luv it! Simple, easy understand, well thought I follow step step problems see results. I also luv apps, gives food choices. But looks like foundation. Keep good work!",Positive,0.4361111111,0.5968253968
10 Best Foods for You,Not good Its good u net connection u can't play app.so much good.,Positive,0.2625,0.45
10 Best Foods for You,Awesome resources I begin new journey. I can't see great results!,Positive,0.7121212121,0.7348484848
10 Best Foods for You,Boring. I thought actually just texts that's it. Too poor old texts....,Negative,-0.325,0.475
10 Best Foods for You,Love app. It gives way good idea I buying store eating daily basis,Positive,0.4,0.4
10 Best Foods for You,Great Its really best unique provides detailed information food nutritious staying healthy hats developer giving free.,Positive,0.5791666667,0.6833333333
10 Best Foods for You,Nothing special! Could find anything useful!,Positive,0.4107142857,0.2857142857
10 Best Foods for You,Its ok I love ok.,Positive,0.5,0.5333333333
10 Best Foods for You,"I like eat delicious food. That's I'm cooking food myself, case ""10 Best Foods"" helps lot, also ""Best Before (Shelf Life)""",Positive,1,0.5333333333
10 Best Foods for You,This help eating healthy exercise regular basis,Positive,0.25,0.2884615385
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Works great especially going grocery store,Positive,0.4,0.875
10 Best Foods for You,Best idea us,Positive,1,0.3
10 Best Foods for You,Best way,Positive,1,0.3
10 Best Foods for You,Amazing,Positive,0.6,0.9
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,"Looking forward app,",Neutral,0,0
10 Best Foods for You,It helpful site ! It help foods get !,Neutral,0,0
10 Best Foods for You,good you.,Positive,0.7,0.6
10 Best Foods for You,"Useful information The amount spelling errors questions validity information shared. Once fixed, 5 stars given.",Positive,0.2,0.1
10 Best Foods for You,"Thank you! Great app!! Add arthritis, eyes, immunity, kidney/liver detox foods please. :)",Positive,0.75,0.875
10 Best Foods for You,Greatest ever Completely awesome maintain health.... This must ppl there... Love it!!!,Positive,0.9921875,0.8666666667
10 Best Foods for You,Good health...... Good health first priority.......,Positive,0.55,0.5111111111
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Health It's important world either life . think? :),Positive,0.45,1
10 Best Foods for You,"Mrs sunita bhati I thankful developers,to make kind app, really good healthy food body",Positive,0.6,0.6666666667
10 Best Foods for You,Very Useful in diabetes age 30. I need control sugar. thanks,Positive,0.295,0.1
10 Best Foods for You,One greatest apps.,Positive,1,1
10 Best Foods for You,good nice,Positive,0.65,0.8
10 Best Foods for You,Healthy Really helped,Positive,0.35,0.35
10 Best Foods for You,God health,Neutral,0,0
10 Best Foods for You,HEALTH SHOULD ALWAYS BE TOP PRIORITY. !!. ON MYSG5.,Positive,0.78125,0.5
10 Best Foods for You,An excellent A useful,Positive,0.65,0.5
10 Best Foods for You,I found lot wealth form health...,Neutral,0,0
10 Best Foods for You,Because I found important.,Positive,0.4,1
10 Best Foods for You,Healthy Eating,Positive,0.5,0.5
10 Best Foods for You,Very good Simply good,Positive,0.805,0.69
10 Best Foods for You,On test....,Neutral,0,0
10 Best Foods for You,Good.!!,Positive,1,0.6
10 Best Foods for You,Thanks advice. Downloaded Adobe reader still can't get recipe book?..,Positive,0.2,0.2
10 Best Foods for You,No recipe book Unable recipe book.,Negative,-0.5,0.5
10 Best Foods for You,Absolutely Fabulous Phenomenal,Positive,0.45,0.75
10 Best Foods for You,Great Love food,Positive,0.65,0.675
10 Best Foods for You,Excellent It really works,Positive,0.6,0.6
10 Best Foods for You,Best,Positive,1,0.3
10 Best Foods for You,"WEALTH OF INFORMATION Very informative ... easy understand. (The ads middle page interupted read). Update: My ""ad comment"" NOT objection ads, literally position ads. Smack dab MIDDLE. I new spartphones & apps. Didnt know NOT Click eveything I saw... But, ... Full Review",Positive,0.1866161616,0.3563131313
10 Best Foods for You,Not description good,Positive,0.7,0.6
10 Best Foods for You,Great app. Love,Positive,0.65,0.675
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Loved Very helpful,Positive,0.45,0.55
10 Best Foods for You,Good healthy foods.,Positive,0.6,0.55
10 Best Foods for You,Waste time It needs internet time n ask calls information,Negative,-0.2,0
10 Best Foods for You,Best thing I lost ten lbs. two months help tips,Positive,0.5,0.15
10 Best Foods for You,Ten best food promote good health Good health essential long healthy lifestyle make habit eat foods promote good health. Eat fruits veggies every day.,Positive,0.44375,0.4125
10 Best Foods for You,Healthy Food Really good information eat healthy,Positive,0.5666666667,0.5333333333
10 Best Foods for You,My mom dad important thing This good share,Positive,0.55,0.8
10 Best Foods for You,A big thanks ds I got bst gd health,Positive,0.1,0.15
10 Best Foods for You,Lovely Best everyone needs,Positive,0.75,0.525
10 Best Foods for You,Love It I lost 6Pounds far 215 209,Positive,0.3,0.8
10 Best Foods for You,I like,Neutral,0,0
10 Best Foods for You,Thanks helpful app.,Positive,0.2,0.2
10 Best Foods for You,good food really good eat,Positive,0.7,0.6
10 Best Foods for You,Thanks Thank u much,Positive,0.2,0.2
10 Best Foods for You,Love This really good,Positive,0.6,0.6
10 Best Foods for You,This helpful,Neutral,0,0
10 Best Foods for You,I love,Positive,0.5,0.6
10 Best Foods for You,Very useful,Positive,0.39,0
10 Best Foods for You,Great Love,Positive,0.65,0.675
10 Best Foods for You,Very informative,Positive,0.2,0.3
10 Best Foods for You,Luv,Neutral,0,0
10 Best Foods for You,great,Positive,0.8,0.75
10 Best Foods for You,Wonderful,Positive,1,1
10 Best Foods for You,Doesn't work... Zero,Neutral,0,0
10 Best Foods for You,Weight loss Not bad,Positive,0.35,0.6666666667
10 Best Foods for You,10 best foods 4u Excellent chose foods,Positive,1,0.65
10 Best Foods for You,This needed most.,Positive,0.5,0.5
10 Best Foods for You,Faltu plz waste ur time,Negative,-0.2,0
10 Best Foods for You,Best food Thank you recipe book,Positive,1,0.3
10 Best Foods for You,I Love Good,Positive,0.6,0.6
10 Best Foods for You,I like Superb,Positive,1,1
10 Best Foods for You,Good V good,Positive,0.7,0.6
10 Best Foods for You,Healthy,Positive,0.5,0.5
10 Best Foods for You,Quick Read.,Positive,0.3333333333,0.5
10 Best Foods for You,Great ideas,Positive,0.8,0.75
10 Best Foods for You,Too good,Positive,0.7,0.6
10 Best Foods for You,Cool.,Positive,0.35,0.65
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Best Best,Positive,1,0.3
10 Best Foods for You,Great Great,Positive,0.8,0.75
10 Best Foods for You,"Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1,0.8333333333
10 Best Foods for You,Great wife. My wife enjoy much. She's kinda person like follow health diet... She's spending much time front PC find appropriate diet food her. Now found magnificent app! Thank you! Thumbs up.,Positive,0.5166666667,0.525
10 Best Foods for You,Great! Very interesting useful application. I like it!,Positive,0.675,0.4666666667
10 Best Foods for You,Crap Doesn't work,Negative,-0.8,0.8
10 Best Foods for You,This 5 starr Download,Neutral,0,0
10 Best Foods for You,I like Was helpful,Neutral,0,0
10 Best Foods for You,nice super get,Positive,0.4666666667,0.8333333333
10 Best Foods for You,Nice Nice collection,Positive,0.6,1
10 Best Foods for You,Wow,Positive,0.1,1
10 Best Foods for You,"Interesting. It interesting info, I think worth storage space phone. I'd rather research computer print list. Neat idea, make life easier, provide entertainment, I expect app.",Positive,0.4333333333,0.3666666667
10 Best Foods for You,"Luv it! Simple, easy understand, well thought I follow step step problems see results. I also luv apps, gives food choices. But looks like foundation. Keep good work!",Positive,0.4361111111,0.5968253968
10 Best Foods for You,Not good Its good u net connection u can't play app.so much good.,Positive,0.2625,0.45
10 Best Foods for You,Awesome resources I begin new journey. I can't see great results!,Positive,0.7121212121,0.7348484848
10 Best Foods for You,Boring. I thought actually just texts that's it. Too poor old texts....,Negative,-0.325,0.475
10 Best Foods for You,Love app. It gives way good idea I buying store eating daily basis,Positive,0.4,0.4
10 Best Foods for You,Great Its really best unique provides detailed information food nutritious staying healthy hats developer giving free.,Positive,0.5791666667,0.6833333333
10 Best Foods for You,Nothing special! Could find anything useful!,Positive,0.4107142857,0.2857142857
10 Best Foods for You,Its ok I love ok.,Positive,0.5,0.5333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Great,Positive,0.8,0.75
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,nice,Positive,0.6,1
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Almost mobile phone,Neutral,0,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Very effective, efficient convenient find available jobs. Keep good work power 104 Job Search.",Positive,0.6266666667,0.6666666667
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Easy intuitive,Positive,0.4333333333,0.8333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,good searching job internship,Positive,0.7,0.6
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Not bad, price little bit expensive",Negative,-0.1125,0.6222222222
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,easy use!,Positive,0.5416666667,0.8333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,job search results iOS e.g. security,Neutral,0,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,easy,Positive,0.4333333333,0.8333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Well, it is also the largest human bank in Taiwan. Can you please app ui?",Neutral,0,0.1
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Great,Positive,0.8,0.75
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,So,Neutral,0,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Very useful,Positive,0.39,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Helpful,Neutral,0,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Very good job hunt,Positive,0.91,0.78
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Easy to use.,Positive,0.4333333333,0.8333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,nice,Positive,0.6,1
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Good find job easily,Positive,0.5666666667,0.7166666667
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Good meet good,Positive,0.7,0.6
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Awesomeee,Neutral,0,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Why English version???,Neutral,0,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"The operation interface & information content is richer than 1111, and it is also better to use/utility without flashing back.",Positive,0.25,0.25
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Nice,Positive,0.6,1
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Is the development method completed in the early days, the computer web version and the mobile app, the function seems to be short or not the same in the same function page. For example, the similar work function of similar companies is not in the app version.",Positive,0.01666666667,0.275
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,This better suited possibly somebody understands pitfalls modern technology,Positive,0.2333333333,0.6
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Useful handy terminal mobile devices, UI/UX improved :)",Positive,0.4666666667,0.6333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,104 job hunt So amazing.. easy use.. thanx guys,Positive,0.5166666667,0.8666666667
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Convenient, easy using many large corporation it.",Positive,0.3825396825,0.5873015873
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Easy to use interface,Positive,0.4333333333,0.8333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,easy simple easy use.,Positive,0.2888888889,0.6746031746
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,easy found job,Positive,0.4333333333,0.8333333333
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Great,Positive,0.8,0.75
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Useful This useful Chinese difficult people's read Chinese. If add English language useful.,Positive,0.05714285714,0.1428571429
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Selling a phone number? After completing the resume for 20 minutes, I was hit by my 4 mobile phones, including Nanshan Life Insurance.",Neutral,0,0
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Very helpful Very easy user-friendly. Brilliant app.,Positive,0.5544444444,0.7666666667
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Good Very helpful,Positive,0.45,0.45
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,"Very good, very convenient, easy to use, very beautiful, very good",Positive,0.6906666667,0.7386666667
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Ok,Positive,0.5,0.5
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Nice,Positive,0.6,1
11st,Horrible ID verification,Negative,-1,1
11st,"Easy even basic Korean. Searching English usually bring results products shipped overseas, best search Korean.",Positive,0.2366666667,0.3016666667
11st,Cool,Positive,0.35,0.65
11st,"I do not collect it for a month, but I will not refund it. He said he would only call me all month.",Neutral,0,1
11st,Top bar missing newest update. Hard shop can't search...,Positive,0.002777777778,0.3638888889
11st,There is nothing missing ~ !!!,Negative,-0.390625,0.05
11st,Refund takes long.. 3 days still received money.. crazy,Negative,-0.325,0.65
11st,I enjoying online shopping via 11st app. Perfect!,Positive,0.75,0.8
11st,good enough,Positive,0.35,0.55
11st,I switching gMarket Twice 11st's new face!,Positive,0.1704545455,0.4545454545
11st,forced full screen popups,Positive,0.025,0.375
11st,Is it sound like you want to clear Chrome and pay for it again because Android users can not pay for Chrome error? I have to fix the app. Is it really true? It's makgeolli.,Positive,0.2833333333,0.4777777778
11st,Ok,Positive,0.5,0.5
11st,"I am trying to update every time but I do not stall. It's still difficult to search, and I'm tired of seeing categories by category. The benefits are getting less and less.",Negative,-0.3083333333,0.4583333333
11st,Just try.. So far good,Positive,0.4,0.8
11st,Icon name is strange after updating,Negative,-0.05,0.15
11st,com.skplanet.syruppay.cardrecognizedlib,Neutral,0,0
11st,Nice,Positive,0.6,1
11st,best shop,Positive,1,0.3
11st,I forgot password can't get new,Positive,0.1363636364,0.4545454545
11st,best,Positive,1,0.3
11st,I love,Positive,0.5,0.6
11st,Force update,Neutral,0,0
11st,She,Neutral,0,0
11st,Love Nature,Positive,0.5,0.6
11st,Language barrier. I understand Korea. I want English.,Neutral,0,0
11st,Shipping View Flexible View Make it right? Why do not you come out ???,Positive,0.2857142857,0.5357142857
11st,0 points I want to give No -10000000000000 points shortage I clicked on the Internet address I could not find the product I popped up and the 11th Avenue app was automatically turned on and it was automatically abducted so I can not use the internet app.,Neutral,0,0
11st,,Neutral,0,0
11st,Five star Its nice,Positive,0.6,1
11st,"Forced termination is too severe. If you try to view detailed information, it will be forcibly terminated.",Positive,0.2,0.65
11st,"Open Market Revolution A section of the Helo-Ship open market mobile service. There are still many page areas that can not be served by mobile service, and the interface is also an urgent level for page loading. If you understand that there is a limit to the source control of the product information provided by the sellers, it is a chronic problem that problems arise in the loading of coupons or on the benefit management page.",Positive,0.1666666667,0.5
11st,English version Hi possible English version. Thank you.,Neutral,0,0.3333333333
11st,"If you have a phone that is authenticated by OTP and you call the agent, you will be able to find it .... There is a letter authentication and there is also an e-mail .. If you do not do such a thing and call a counselor,",Positive,0.25,0.5625
11st,It has been slowed down since the last update. It's hard for me to pay for the product ... I'll give up when I'm alive.,Negative,-0.08680555556,0.3243055556
11st,good good,Positive,0.7,0.6
11st,"If a network error occurs, the app should save the state and try again, or try to re-point the next time, but that's it and it's gone. It's totally tough.",Negative,-0.1944444444,0.4166666667
11st,Problem language I dont understand language used app. I advise keep option user choose language may prefer,Neutral,0,0
11st,Nice So nice Apps.,Positive,0.6,1
11st,Don't English language like,Neutral,0,0
1800 Contacts - Lens Store,Great hassle free way order contacts. Got call reminding prescription expires tomorrow.,Positive,0.6,0.775
1800 Contacts - Lens Store,"It's expensive I expected (I thought I'd saving money, cutting middle man), waaaaay convenient doctor's office.",Negative,-0.3,0.5
1800 Contacts - Lens Store,Super fast navigation brand fast/easy checkout additional ads BS,Positive,0.2666666667,0.6333333333
1800 Contacts - Lens Store,Easy step step process correct information took 5 minutes place order.,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,Placing order easy especially paper copy Rx. I'll update review I receive order rebate.,Positive,0.2166666667,0.9166666667
1800 Contacts - Lens Store,Super fast ordering reordering easy interface. Love convenience app!,Positive,0.3979166667,0.675
1800 Contacts - Lens Store,I love makes getting contacts easy!♥️,Positive,0.5,0.6
1800 Contacts - Lens Store,Easy use. Will def recommend,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,Love app. Super easy use. Ordered contacts less minute.,Positive,0.275,0.5416666667
1800 Contacts - Lens Store,"This easy use, ordering process fast efficient.",Positive,0.3166666667,0.7166666667
1800 Contacts - Lens Store,So simple cave man it!!,Neutral,0,0.3571428571
1800 Contacts - Lens Store,"Simple, fast easy use. No eye appointments",Positive,0.2111111111,0.5968253968
1800 Contacts - Lens Store,Very user friendly.,Positive,0.2875,0.4
1800 Contacts - Lens Store,Very easy use. Love free shipping,Positive,0.4877777778,0.8
1800 Contacts - Lens Store,Very easy use.,Positive,0.5633333333,1
1800 Contacts - Lens Store,Dope,Neutral,0,0
1800 Contacts - Lens Store,Easy affordable.,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,Easy,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,great,Positive,0.8,0.75
1800 Contacts - Lens Store,So easy app! Made ordering contacts breeze! Great prices too!,Positive,0.8385416667,0.7916666667
1800 Contacts - Lens Store,Does need do. No sense giving anything less 5 stars.,Negative,-0.1666666667,0.06666666667
1800 Contacts - Lens Store,Worked well glad I,Positive,0.5,1
1800 Contacts - Lens Store,It's hell lot easier I thought it would be!,Neutral,0,0
1800 Contacts - Lens Store,It made getting new contacts easy!,Positive,0.3390151515,0.6439393939
1800 Contacts - Lens Store,I love app! SO easy super convenient!!,Positive,0.5263888889,0.7
1800 Contacts - Lens Store,Hopefully work well. First time user.,Positive,0.25,0.3333333333
1800 Contacts - Lens Store,Contacts shipped time efficient.,Neutral,0,0
1800 Contacts - Lens Store,Very easy,Positive,0.5633333333,1
1800 Contacts - Lens Store,Easy access,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,"First time app, always used doctors office stand behind tore contacts. Hoping solve problem 1800contacts!",Negative,-0.125,0.5166666667
1800 Contacts - Lens Store,"Months later, GS9+, still notify expired lenses. Useless. ---- Lens notifications work, successfully pushes alerts discounts. The fundamental reason keep running lens expiration notification, work. (My notification settings fine.)",Positive,0.1666666667,0.4125
1800 Contacts - Lens Store,Good prices exceptional customer service. Order sent particular fault begin thoroughly checking information completing order. When I emailed I got response rather quickly (2 hours) correction made I receiving free overnight shipping ensure getting lenses promptly. Wonderful.,Positive,0.5444444444,0.7055555556
1800 Contacts - Lens Store,"It's quick easy order contacts app, I love it! And really saves time money, makes extremely happy! Got love free market capitalism!",Positive,0.5130952381,0.6476190476
1800 Contacts - Lens Store,Ordered Sunday. Got call verifying last name (recently married). Scheduled shipped Monday :) Happy customer,Positive,0.3875,0.5791666667
1800 Contacts - Lens Store,"Took 5 seconds find rx get contacts ordered, convenient.",Neutral,0,0
1800 Contacts - Lens Store,"Short, simple sweet. Super easy took less 5 mins order contacts. Plus savings!",Positive,0.1513888889,0.478968254
1800 Contacts - Lens Store,"Super easy. Not super cheap, cheaper actually going optometrist, good deals shipping.",Positive,0.2833333333,0.5944444444
1800 Contacts - Lens Store,Very useful streamlines eye care needs. Recommend contact wearers. 5/5. Very reliable shipping. easy well.,Positive,0.3411111111,0.3777777778
1800 Contacts - Lens Store,Very easy use. They remembered last order I figure out!,Positive,0.2816666667,0.5333333333
1800 Contacts - Lens Store,"This well designed, easy & convenient!",Positive,0.5416666667,0.8333333333
1800 Contacts - Lens Store,Great hassle free way order contacts. Got call reminding prescription expires tomorrow.,Positive,0.6,0.775
1800 Contacts - Lens Store,"It's expensive I expected (I thought I'd saving money, cutting middle man), waaaaay convenient doctor's office.",Negative,-0.3,0.5
1800 Contacts - Lens Store,Super fast navigation brand fast/easy checkout additional ads BS,Positive,0.2666666667,0.6333333333
1800 Contacts - Lens Store,Easy step step process correct information took 5 minutes place order.,Positive,0.4333333333,0.8333333333
1800 Contacts - Lens Store,Placing order easy especially paper copy Rx. I'll update review I receive order rebate.,Positive,0.2166666667,0.9166666667
1800 Contacts - Lens Store,Super fast ordering reordering easy interface. Love convenience app!,Positive,0.3979166667,0.675
1800 Contacts - Lens Store,I love makes getting contacts easy!♥️,Positive,0.5,0.6
1800 Contacts - Lens Store,Easy use. Will def recommend,Positive,0.4333333333,0.8333333333
